Date,Open,High,Low,Close,Volume,Ticker,Daily_Return
2022-01-04,179.25417452208993,179.5584419205672,175.80904564797467,176.37832641601562,99310400,AAPL,-1.2691794355896069
2022-01-05,176.29001709220518,176.83966343060843,171.41188337376713,171.68670654296875,94537600,AAPL,-2.659975274955817
2022-01-06,169.50772129643173,172.0596675486128,168.46731727841166,168.82066345214844,96904000,AAPL,-1.6693447900132052
2022-01-07,169.69422597653536,170.9211204367095,167.86860642072668,168.98753356933594,86709100,AAPL,0.09884460454971933
2022-01-10,165.95464256744464,169.31142378084766,165.06145986786478,169.0071563720703,106765600,AAPL,0.011611982446213531
2022-01-11,169.13478740187807,171.94190783972073,167.66251389723809,171.84376525878906,76138300,AAPL,1.6783957245419368
2022-01-12,172.8645368239584,173.90494104881037,171.58857842094562,172.2854461669922,74805200,AAPL,0.25702469189845534
2022-01-13,172.5307934232952,173.3552628490283,168.614541185956,169.0071563720703,84505800,AAPL,-1.9028245669366117
2022-01-14,168.17287788763613,170.56777832766494,167.92749898971087,169.87091064453125,80440800,AAPL,0.5110755609421425
2022-01-18,168.33972966979056,169.35068950665382,166.27855596311068,166.66134643554688,90956700,AAPL,-1.8894136711262166
2022-01-19,166.85765136543813,167.91769000661554,162.87270044087128,163.15733337402344,94815000,AAPL,-2.1024749508300355
2022-01-20,163.8934453067467,166.5435340208892,161.14519905711342,161.46910095214844,91420500,AAPL,-1.0347266573699665
2022-01-21,161.38076913756592,163.25546724898456,159.29996116779535,159.40792846679688,122848900,AAPL,-1.2765120219269677
2022-01-24,157.06213706108227,159.2999915243486,151.8404666623007,158.63255310058594,162294600,AAPL,-0.4864095366325816
2022-01-25,156.04135309194953,159.75148103294072,154.11759081418975,156.82656860351562,115798400,AAPL,-1.1384702961473314
2022-01-26,160.47779205545413,161.35134029387297,154.90279093312674,156.73822021484375,108275300,AAPL,-0.056335090067061167
2022-01-27,159.44717659164758,160.81148242302393,155.35425909751854,156.27688598632812,121954600,AAPL,-0.294334226765669
2022-01-28,162.64695192499494,167.2011835771804,159.79073801782928,167.18154907226562,179935700,AAPL,6.977783705577223
2022-01-31,167.0146740043963,171.76520522888097,166.37667997036093,171.5492706298828,115541600,AAPL,2.612561961445392
2022-02-01,170.79351570873365,171.60817541361024,169.12494226668923,171.38243103027344,86213900,AAPL,-0.09725462486478431
2022-02-02,171.51988829687994,172.6290059579668,170.12613763983117,172.58973693847656,84914300,AAPL,0.7044513845120282
2022-02-03,171.25483696595504,172.98231399971922,168.93845956073986,169.70404052734375,89418100,AAPL,-1.671997687881921
2022-02-04,168.72129677126426,171.0996042103979,167.7385305552271,169.4190673828125,82465400,AAPL,-0.16792360608840484
2022-02-07,169.88093057527257,170.95214191132882,168.00384392494493,168.7016143798828,77251200,AAPL,-0.42347830973981093
2022-02-08,168.77043538223953,172.32805922455944,168.4756025229789,171.8170166015625,74829200,AAPL,1.846693781284392
2022-02-09,173.01594191587955,173.60559246596077,171.88575211887613,173.24197387695312,71285000,AAPL,0.8293458375517204
2022-02-10,171.13890900487118,172.4558121410886,168.59354809326686,169.15371704101562,90865900,AAPL,-2.3598535299772294
2022-02-11,169.3600979658817,170.09717260247885,165.14402264688573,165.7336883544922,98670700,AAPL,-2.0218466057675633
2022-02-14,164.48555705147456,166.65747672658372,163.68951891129095,165.96954345703125,86185500,AAPL,0.14230969266464388
2022-02-15,168.02350743268553,169.969379951066,167.3159146994891,169.8121337890625,62527400,AAPL,2.315238237084194
2022-02-16,168.88834547600229,170.3526572392932,167.11936365193407,169.57627868652344,61177400,AAPL,-0.13889178427735072
2022-02-17,168.0824845697611,168.94732353481027,165.56660575778602,165.96954345703125,69589300,AAPL,-2.1269102361654912
2022-02-18,166.89335344125396,167.60093126737578,163.32590754694263,164.41677856445312,82772700,AAPL,-0.9355721900748182
2022-02-22,162.1367428748668,163.81727946148703,159.35551308277192,161.48812866210938,91162800,AAPL,-1.7812354237287775
2022-02-23,162.68708741626082,163.28657531432245,156.9968785115613,157.31137084960938,90009200,AAPL,-2.5864178668137616
2022-02-24,149.95047069736393,160.04348391166852,149.38046449387545,159.9353790283203,141147500,AAPL,1.6680346528920031
